2017-08-13 09:30:35.459731 UTC,Logger Initialized
2017-08-13 09:31:47.216963 UTC,260,ca5e8cafc1276f53dbe896689b1a
2017-08-13 09:31:47.217140 UTC,261,e6b3e0684583ff
2017-08-13 09:31:47.217283 UTC,262,46f3820738ce8f
2017-08-13 09:31:47.217384 UTC,263,e931ddd0de47aa
2017-08-13 09:31:47.217504 UTC,264,e4c85df76b7105
2017-08-13 09:31:47.217596 UTC,265,85b070955534a1
2017-08-13 09:31:47.217695 UTC,266,f333bc41d3e13f
2017-08-13 09:31:47.217791 UTC,267,e2a088ea6e9115
2017-08-13 09:31:47.217887 UTC,268,f32bdc98903294
2017-08-13 09:31:47.217965 UTC,269,b63ca670cc4bc7
2017-08-13 09:31:47.220198 UTC,270,4c9a8e94a6493e
2017-08-13 09:31:47.220594 UTC,271,eb55557ac05b7527dcc3c649bef5
2017-08-13 09:31:47.246807 UTC,272,52b761e8aa40aa9d9826236c96cc
2017-08-13 09:31:47.247073 UTC,273,b2f4a6e5982dac
2017-08-13 09:31:47.247285 UTC,274,08efaac49bec23
2017-08-13 09:31:47.247374 UTC,275,222e7f3686fd77
2017-08-13 09:31:47.247512 UTC,276,10fab923390431
2017-08-13 09:31:47.247602 UTC,277,865a1023738956
2017-08-13 09:31:47.247668 UTC,278,accf60886c2280
2017-08-13 09:31:47.247776 UTC,279,b9ba445a4c03a0
2017-08-13 09:31:47.247875 UTC,280,ba533733ef4f5f
2017-08-13 09:31:47.248096 UTC,281,525a5108d09225
2017-08-13 09:31:47.248226 UTC,282,00e7fb96eac021
2017-08-13 09:31:47.248391 UTC,283,a6abb5d28705de
2017-08-13 09:31:47.248503 UTC,284,7f4a4e12b884ac
2017-08-13 09:31:47.248654 UTC,285,f843f6b046267d
2017-08-13 09:31:47.249321 UTC,286,ba0f18f1cb2886
2017-08-13 09:31:47.249503 UTC,287,3de1c2de1fdc57
2017-08-13 09:31:47.249612 UTC,288,0038a244c06bd9
2017-08-13 09:31:47.249733 UTC,289,9cd26936b7cd3b
2017-08-13 09:31:47.249886 UTC,290,1fc6b51e8b4f34
2017-08-13 09:31:47.249986 UTC,291,ca5e8cafc1276f53dbe896689b1a
2017-08-13 09:31:47.250104 UTC,292,e6b3e0684583ff
2017-08-13 09:31:47.250172 UTC,293,46f3820738ce8f
2017-08-13 09:31:47.250237 UTC,294,e931ddd0de47aa
2017-08-13 09:31:47.250365 UTC,295,e4c85df76b7105
2017-08-13 09:31:47.250483 UTC,296,85b070955534a1
2017-08-13 09:31:47.250576 UTC,297,f333bc41d3e13f
2017-08-13 09:31:47.250865 UTC,298,e2a088ea6e9115
2017-08-13 09:31:47.250954 UTC,299,f32bdc98903294
2017-08-13 09:31:47.251146 UTC,300,b63ca670cc4bc7
2017-08-13 09:31:47.251247 UTC,301,4c9a8e94a6493e
2017-08-13 09:31:47.251621 UTC,302,eb55557ac05b7527dcc3c649bef5
2017-08-13 09:31:47.299420 UTC,303,52b761e8aa40aa9d9826236c96cc
2017-08-13 09:31:47.299574 UTC,304,b2f4a6e5982dac
2017-08-13 09:31:47.299646 UTC,305,08efaac49bec23
2017-08-13 09:31:47.299712 UTC,306,222e7f3686fd77
2017-08-13 09:31:47.299780 UTC,307,10fab923390431
2017-08-13 09:31:47.299883 UTC,308,865a1023738956
2017-08-13 09:31:47.300034 UTC,309,accf60886c2280
2017-08-13 09:31:47.300225 UTC,310,b9ba445a4c03a0
2017-08-13 09:31:47.300316 UTC,311,ba533733ef4f5f
2017-08-13 09:31:47.300669 UTC,312,525a5108d09225
2017-08-13 09:31:47.300799 UTC,313,00e7fb96eac021
2017-08-13 09:31:47.300857 UTC,314,a6abb5d28705de
2017-08-13 09:31:47.300953 UTC,315,7f4a4e12b884ac
2017-08-13 09:31:47.301003 UTC,316,f843f6b046267d
2017-08-13 09:31:47.301061 UTC,317,ba0f18f1cb2886
2017-08-13 09:31:47.301152 UTC,318,3de1c2de1fdc57
2017-08-13 09:31:47.301229 UTC,319,0038a244c06bd9
2017-08-13 09:31:47.301285 UTC,320,9cd26936b7cd3b
2017-08-13 09:31:47.301338 UTC,321,1fc6b51e8b4f34
2017-08-13 09:31:47.301391 UTC,322,ca5e8cafc1276f53dbe896689b1a
2017-08-13 09:31:47.301450 UTC,323,e6b3e0684583ff
2017-08-13 09:31:47.301681 UTC,324,46f3820738ce8f
2017-08-13 09:31:47.301742 UTC,325,e931ddd0de47aa
2017-08-13 09:31:47.301837 UTC,326,e4c85df76b7105
2017-08-13 09:31:47.301895 UTC,327,85b070955534a1
2017-08-13 09:31:47.302016 UTC,328,f333bc41d3e13f
2017-08-13 09:31:47.302071 UTC,329,e2a088ea6e9115
2017-08-13 09:31:47.302148 UTC,330,f32bdc98903294
2017-08-13 09:31:47.302232 UTC,331,b63ca670cc4bc7
2017-08-13 09:31:47.302368 UTC,332,4c9a8e94a6493e
2017-08-13 09:31:47.302446 UTC,333,eb55557ac05b7527dcc3c649bef5
2017-08-13 09:31:47.346262 UTC,334,52b761e8aa40aa9d9826236c96cc
2017-08-13 09:31:47.346392 UTC,335,b2f4a6e5982dac
2017-08-13 09:31:47.346553 UTC,336,08efaac49bec23
2017-08-13 09:31:47.346617 UTC,337,222e7f3686fd77
2017-08-13 09:31:47.346796 UTC,338,10fab923390431
2017-08-13 09:31:47.346854 UTC,339,865a1023738956
2017-08-13 09:31:47.347090 UTC,340,accf60886c2280
2017-08-13 09:31:47.347156 UTC,341,b9ba445a4c03a0
2017-08-13 09:31:47.347320 UTC,342,ba533733ef4f5f
2017-08-13 09:31:47.347521 UTC,343,525a5108d09225
2017-08-13 09:31:47.347573 UTC,344,00e7fb96eac021
2017-08-13 09:31:47.347624 UTC,345,a6abb5d28705de
2017-08-13 09:31:47.347673 UTC,346,7f4a4e12b884ac
2017-08-13 09:31:47.347722 UTC,347,f843f6b046267d
2017-08-13 09:31:47.347778 UTC,348,ba0f18f1cb2886
2017-08-13 09:31:47.347863 UTC,349,3de1c2de1fdc57
2017-08-13 09:31:47.348042 UTC,350,0038a244c06bd9
2017-08-13 09:31:47.348120 UTC,351,9cd26936b7cd3b
2017-08-13 09:31:47.348216 UTC,352,1fc6b51e8b4f34
2017-08-13 09:31:47.348305 UTC,353,ca5e8cafc1276f53dbe896689b1a
2017-08-13 09:31:47.348403 UTC,354,e6b3e0684583ff
2017-08-13 09:31:47.348480 UTC,355,46f3820738ce8f
2017-08-13 09:31:47.348593 UTC,356,e931ddd0de47aa
2017-08-13 09:31:47.348658 UTC,357,e4c85df76b7105
2017-08-13 09:31:47.348732 UTC,358,85b070955534a1
2017-08-13 09:31:47.348801 UTC,359,f333bc41d3e13f
2017-08-13 09:31:47.348868 UTC,360,e2a088ea6e9115
2017-08-13 09:31:47.348950 UTC,361,f32bdc98903294
2017-08-13 09:31:47.349016 UTC,362,b63ca670cc4bc7
2017-08-13 09:31:47.349099 UTC,363,4c9a8e94a6493e
2017-08-13 09:31:47.349157 UTC,364,eb55557ac05b7527dcc3c649bef5
2017-08-13 09:31:47.395370 UTC,365,52b761e8aa40aa9d9826236c96cc
2017-08-13 09:31:47.395493 UTC,366,b2f4a6e5982dac
2017-08-13 09:31:47.395561 UTC,367,08efaac49bec23
2017-08-13 09:31:47.395892 UTC,368,222e7f3686fd77
2017-08-13 09:31:47.395960 UTC,369,10fab923390431
2017-08-13 09:31:47.396019 UTC,370,865a1023738956
2017-08-13 09:31:47.396078 UTC,371,accf60886c2280
2017-08-13 09:31:47.396137 UTC,372,b9ba445a4c03a0
2017-08-13 09:31:47.396195 UTC,373,ba533733ef4f5f
2017-08-13 09:31:47.396381 UTC,374,525a5108d09225
2017-08-13 09:31:47.396504 UTC,375,00e7fb96eac021
2017-08-13 09:31:47.396596 UTC,376,a6abb5d28705de
2017-08-13 09:31:47.396932 UTC,377,7f4a4e12b884ac
2017-08-13 09:31:47.397025 UTC,378,f843f6b046267d
2017-08-13 09:31:47.397096 UTC,379,ba0f18f1cb2886
2017-08-13 09:31:47.397183 UTC,380,3de1c2de1fdc57
2017-08-13 09:31:47.397255 UTC,381,0038a244c06bd9
2017-08-13 09:31:47.397449 UTC,382,9cd26936b7cd3b
2017-08-13 09:31:47.397530 UTC,383,1fc6b51e8b4f34
2017-08-13 09:31:47.397672 UTC,384,ca5e8cafc1276f53dbe896689b1a
2017-08-13 09:31:47.397791 UTC,385,e6b3e0684583ff
2017-08-13 09:31:47.397962 UTC,386,46f3820738ce8f
2017-08-13 09:31:47.398086 UTC,387,e931ddd0de47aa
2017-08-13 09:31:47.398176 UTC,388,e4c85df76b7105
2017-08-13 09:31:47.398404 UTC,389,85b070955534a1
2017-08-13 09:31:47.398578 UTC,390,f333bc41d3e13f
2017-08-13 09:31:47.399083 UTC,391,e2a088ea6e9115
2017-08-13 09:31:47.399275 UTC,392,f32bdc98903294
2017-08-13 09:31:47.399395 UTC,393,b63ca670cc4bc7
2017-08-13 09:31:47.399574 UTC,394,4c9a8e94a6493e
2017-08-13 09:31:47.399673 UTC,395,eb55557ac05b7527dcc3c649bef5
2017-08-13 09:31:47.440355 UTC,396,52b761e8aa40aa9d9826236c96cc
2017-08-13 09:31:47.440571 UTC,397,b2f4a6e5982dac
2017-08-13 09:31:47.440655 UTC,398,08efaac49bec23
2017-08-13 09:31:47.440791 UTC,399,222e7f3686fd77
2017-08-13 09:31:47.440909 UTC,400,10fab923390431
2017-08-13 09:31:47.441095 UTC,401,865a1023738956
2017-08-13 09:31:47.441270 UTC,402,accf60886c2280
2017-08-13 09:31:47.441452 UTC,403,b9ba445a4c03a0
2017-08-13 09:31:47.441523 UTC,404,ba533733ef4f5f
2017-08-13 09:31:47.441641 UTC,405,525a5108d09225
2017-08-13 09:31:47.441772 UTC,406,00e7fb96eac021
2017-08-13 09:31:47.441885 UTC,407,a6abb5d28705de
